City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Moerai,PF,-22.4333,-151.3333,75.34,72,73,10.51,broken clouds
288,Lorengau,PG,-2.0226,147.2712,81.7,78,81,10.0,broken clouds
289,Waipawa,NZ,-41.4122,175.5153,50.07,87,99,8.52,light rain
290,Bud,US,39.447,-86.1758,90.41,72,96,12.77,overcast clouds
291,Adra,ES,36.7496,-3.0206,88.57,40,16,10.94,few clouds
292,Balakhta,RU,55.38,91.6,52.84,93,47,3.87,scattered clouds
293,Aswan,EG,24.0934,32.907,101.5,13,0,8.05,clear sky
294,Plettenberg Bay,ZA,-34.0527,23.3716,57.56,47,92,5.64,overcast clouds
295,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,35,0,36.82,clear sky
296,Ecatepec,MX,19.6011,-99.0525,67.51,49,75,8.05,broken clouds
297,San Patricio,US,28.017,-97.5169,93.07,35,65,11.86,broken clouds
298,Las Torres De Cotillas,ES,38.0282,-1.2419,100.09,35,0,12.66,clear sky
299,Turka,UA,49.1541,23.0297,65.03,59,76,3.06,broken clouds
300,Ust-Omchug,RU,61.15,149.6333,47.59,89,100,2.77,overcast clouds
301,Ajuchitlan,MX,20.7167,-100.0167,69.03,46,99,12.59,overcast clouds
302,Tomatlan,MX,19.9333,-105.25,83.44,72,100,4.03,overcast clouds
303,Nador,MA,35.174,-2.9287,86.07,73,20,5.75,few clouds
304,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,21.85,scattered clouds
305,Gisborne,NZ,-38.6533,178.0042,57.47,66,100,8.12,overcast clouds
306,Magadi,IN,12.9667,77.2333,77.45,82,85,5.55,overcast clouds
307,Taoudenni,ML,22.6783,-3.9836,111.94,8,4,5.84,clear sky
308,Banjar,ID,-8.19,114.9675,77.68,90,44,3.18,scattered clouds
309,Mirabad,AF,30.4362,61.8383,102.69,8,0,9.4,clear sky
310,Pierre,US,44.3683,-100.351,73.85,46,0,11.99,clear sky
311,Misratah,LY,32.3754,15.0925,78.62,60,0,11.39,clear sky
312,Ocumare Del Tuy,VE,10.1165,-66.7761,90.1,75,100,2.28,overcast clouds
313,Roald,NO,62.5833,6.1333,59.9,100,75,11.5,broken clouds
314,Umri,IN,26.5106,78.9367,87.46,55,32,12.53,scattered clouds
315,Ciro Marina,IT,39.3732,17.126,79.47,52,1,9.08,clear sky
316,Nuuk,GL,64.1835,-51.7216,38.88,76,100,8.99,overcast clouds
317,Kismayo,SO,-0.3582,42.5454,78.39,83,29,12.24,light rain
318,Baykit,RU,61.67,96.37,61.63,90,84,2.71,broken clouds
319,Kloulklubed,PW,7.0419,134.2556,82.85,75,99,7.76,overcast clouds
320,Haines Junction,CA,60.7522,-137.5108,55.35,71,18,1.14,few clouds
321,Zyryanka,RU,65.75,150.85,56.61,62,53,6.85,broken clouds
322,Ozernovskiy,RU,51.5,156.5167,47.89,87,95,5.21,overcast clouds
323,Aykhal,RU,66.0,111.5,54.27,53,44,7.78,scattered clouds
324,Nanortalik,GL,60.1432,-45.2371,40.59,77,21,4.23,few clouds
325,Iqaluit,CA,63.7506,-68.5145,42.53,56,40,20.71,scattered clouds
