City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Tuatapere,NZ,2022-06-10 21:48:54,-46.1333,167.6833,275.9,98,97,4.5
244,Sao Filipe,CV,2022-06-10 21:48:55,14.8961,-24.4956,296.96,81,2,4.16
245,Alofi,NU,2022-06-10 21:48:55,-19.0595,-169.9187,299.09,73,95,5.66
246,Biak,ID,2022-06-10 21:48:56,-0.9131,122.8766,297.71,80,83,2.0
247,Ganta,LR,2022-06-10 21:48:57,7.3022,-8.5308,294.64,99,100,0.96
248,Suntar,RU,2022-06-10 21:48:57,62.1444,117.6319,286.59,62,34,2.15
249,Wanaka,NZ,2022-06-10 21:48:58,-44.7,169.15,277.1,84,64,1.79
250,Isangel,VU,2022-06-10 21:48:58,-19.55,169.2667,298.21,94,75,3.09
251,Daru,PG,2022-06-10 21:48:58,-9.0763,143.2092,298.62,88,100,7.45
252,Birao,CF,2022-06-10 21:48:59,10.2849,22.7882,299.84,60,79,1.32
253,Richards Bay,ZA,2022-06-10 21:49:00,-28.783,32.0377,289.77,89,3,2.49
254,Vestmannaeyjar,IS,2022-06-10 21:49:00,63.4427,-20.2734,283.66,86,96,3.15
255,Roma,US,2022-06-10 21:49:01,43.2128,-75.4557,294.72,49,0,6.69
256,Buchanan,LR,2022-06-10 21:49:01,5.8808,-10.0467,298.03,88,98,2.58
257,Airai,TL,2022-06-10 21:49:02,-8.9266,125.4092,286.41,94,75,1.64
258,Vestmanna,FO,2022-06-10 21:49:02,62.1564,-7.1664,283.66,93,100,7.2
259,Vulcan,RO,2022-06-10 21:49:03,45.3833,23.2667,284.76,94,29,1.07
260,Okhotsk,RU,2022-06-10 21:49:03,59.3833,143.3,278.19,94,100,3.29
261,Lompoc,US,2022-06-10 21:49:04,34.6391,-120.4579,309.23,58,0,3.09
262,Sibolga,ID,2022-06-10 21:49:04,1.7427,98.7792,296.77,91,100,1.57
263,Nsanje,MW,2022-06-10 21:49:05,-16.92,35.262,288.18,92,3,0.43
264,Acarau,BR,2022-06-10 21:49:06,-2.8856,-40.12,298.19,88,13,4.93
265,Bath,GB,2022-06-10 21:49:06,51.3779,-2.3591,288.12,79,18,3.09
266,Komsomolskiy,UZ,2022-06-10 21:44:39,40.4272,71.7189,294.55,52,14,3.09
267,Charters Towers,AU,2022-06-10 21:49:07,-20.1,146.2667,282.8,51,3,4.49
268,Mana,GF,2022-06-10 21:49:08,5.6592,-53.7767,298.99,85,89,3.46
269,Coquimbo,CL,2022-06-10 21:49:08,-29.9533,-71.3436,285.0,93,75,4.12
270,Odweyne,SO,2022-06-10 21:49:09,9.4092,45.064,296.75,57,35,6.78
271,Sayyan,YE,2022-06-10 21:49:10,15.1718,44.3244,292.22,29,80,2.99
272,Iqaluit,CA,2022-06-10 21:50:10,63.7506,-68.5145,286.0,50,20,5.66
273,Ancud,CL,2022-06-10 21:50:11,-41.8697,-73.8203,278.95,77,91,2.88
274,Paita,PE,2022-06-10 21:50:12,-5.0892,-81.1144,293.38,76,16,7.81
275,Port Lincoln,AU,2022-06-10 21:50:12,-34.7333,135.8667,285.97,80,86,3.54
276,Cartagena,CO,2022-06-10 21:50:01,10.3997,-75.5144,300.94,89,75,3.09
277,Bathsheba,BB,2022-06-10 21:50:13,13.2167,-59.5167,298.49,94,75,7.2
278,Filingue,NE,2022-06-10 21:50:14,14.3521,3.3168,306.22,31,13,6.11
279,Gairo,IT,2022-06-10 21:50:14,39.8497,9.5047,291.02,57,0,2.93
280,Churapcha,RU,2022-06-10 21:50:15,62.0025,132.4325,288.88,72,28,4.7
281,Lubumbashi,CD,2022-06-10 21:50:16,-11.6609,27.4794,284.63,68,14,2.22
282,Turukhansk,RU,2022-06-10 21:50:16,65.8167,87.9833,287.07,54,3,5.59
283,Hamilton,US,2022-06-10 21:47:46,39.1834,-84.5333,293.84,83,100,3.6
284,Kapoeta,SS,2022-06-10 21:50:18,4.7717,33.5903,297.72,60,69,1.97
285,Ixtapa,MX,2022-06-10 21:50:19,20.7,-105.2,302.16,77,77,2.68
286,Envira,BR,2022-06-10 21:50:19,-7.3,-70.2167,295.5,91,99,0.68
287,Tazovskiy,RU,2022-06-10 21:50:21,67.4667,78.7,287.96,54,100,5.77
288,Bogale,MM,2022-06-10 21:50:22,16.2833,95.4,298.95,91,100,3.71
289,Huixtla,MX,2022-06-10 21:50:22,15.15,-92.4667,300.64,86,100,0.76
290,Benicarlo,ES,2022-06-10 21:50:23,40.4165,0.4271,297.35,79,3,4.09
291,Xiongzhou,CN,2022-06-10 21:50:23,25.1167,114.3,297.08,98,100,1.07
292,Riyadh,SA,2022-06-10 21:50:24,24.6877,46.7219,307.23,15,0,3.13
293,Kailua,US,2022-06-10 21:50:24,21.4022,-157.7394,302.14,66,75,5.66
